;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;10.10-11.40 ;;;;;;;;;;;;;пр. Геометрия;Кузьмина Елена Юрьевна, доцент;219;;;;10.10-11.40 ;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;11.50-13.20 ;;;;лек. Геометрия;Шеметова Людмила Николаевна, ст.преподаватель;322;лек. Геометрия;Шеметова Людмила Николаевна, ст.преподаватель;322;;;;лек. Геометрия;Кузьмина Елена Юрьевна, доцент;219;;;;11.50-13.20 ;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;13.50-15.20 ;;;;пр. Геометрия;Шеметова Людмила Николаевна, ст.преподаватель;322;;;;;;;;;;;;;13.50-15.20 ;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;15.30-17.00 ;;;;пр. Геометрия;Шеметова Людмила Николаевна, ст.преподаватель;322;;;;;;;;;;;;;15.30-17.00 ;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Верхняя неделя:;;;01.09, 12.09, 26.09, 10.10, 24.10, 07.11, 21.11, 05.12, 19.12;;;;
;;;;;Начальник УМУ;;;Директор ИМЭИ_______________М.В. Фалалеев;;;;;;Нижняя неделя:;;;05.09, 19.09, 03.10,17.10, 31.10, 14.11, 28.11, 12.12, 26.12;;;;
